Appellation,Région,URL
Abouriou,sud_ouest,https://www.google.com/search?q=Abouriou+sud_ouest+cahier+des+charges+AOC&sei=3khIaeKpHd2IkdUPnaql-AU
Alicante Bouschet,languedoc,https://www.google.com/search?q=Alicante+Bouschet+languedoc+cahier+des+charges+AOC
Aligoté,bourgogne,https://www.google.com/search?q=Aligot%C3%A9+bourgogne+cahier+des+charges+AOC
Aligoté,savoie,https://www.google.com/search?q=Aligot%C3%A9+savoie+cahier+des+charges+AOC
Altesse,savoie,https://www.guildsomm.com/webupload/AOCs/CDC_vin-de-savoie.pdf?Redirected=true
Arbane,champagne,https://www.google.com/search?q=Arbane+champagne+cahier+des+charges+AOC
Arrufiac,sud_ouest,https://www.google.com/search?q=Arrufiac+sud_ouest+cahier+des+charges+AOC
Auxerrois,alsace,https://www.google.com/search?q=Auxerrois+alsace+cahier+des+charges+AOC
Auxerrois,lorraine,https://www.google.com/search?q=Auxerrois+lorraine+cahier+des+charges+AOC
Barbarossa,corse,https://www.google.com/search?q=Barbarossa+corse+cahier+des+charges+AOC
Baroque,sud_ouest,https://www.google.com/search?q=Baroque+sud_ouest+cahier+des+charges+AOC
Biancu Gentile,corse,https://www.google.com/search?q=Biancu+Gentile+corse+cahier+des+charges+AOC
Bourboulenc,rhone,https://www.google.com/search?q=Bourboulenc+rhone+cahier+des+charges+AOC
Bourboulenc,languedoc,https://www.google.com/search?q=Bourboulenc+languedoc+cahier+des+charges+AOC
Braquet,provence,https://www.google.com/search?q=Braquet+provence+cahier+des+charges+AOC
Cabernet Franc,bordeaux,https://www.google.com/search?q=Cabernet+Franc+bordeaux+cahier+des+charges+AOC
Cabernet Franc,loire,https://www.google.com/search?q=Cabernet+Franc+loire+cahier+des+charges+AOC
Cabernet Sauvignon,bordeaux,https://www.google.com/search?q=Cabernet+Sauvignon+bordeaux+cahier+des+charges+AOC
Cabernet Sauvignon,languedoc,https://www.google.com/search?q=Cabernet+Sauvignon+languedoc+cahier+des+charges+AOC
Calitor,provence,https://www.google.com/search?q=Calitor+provence+cahier+des+charges+AOC
Carignan,languedoc,https://www.google.com/search?q=Carignan+languedoc+cahier+des+charges+AOC
Carignan,rhone,https://www.google.com/search?q=Carignan+rhone+cahier+des+charges+AOC
Carignan Blanc,languedoc,https://www.google.com/search?q=Carignan+Blanc+languedoc+cahier+des+charges+AOC
Carménère,bordeaux,https://www.google.com/search?q=Carm%C3%A9n%C3%A8re+bordeaux+cahier+des+charges+AOC
Chardonnay,bourgogne,https://www.google.com/search?q=Chardonnay+bourgogne+cahier+des+charges+AOC
Chardonnay,champagne,https://www.google.com/search?q=Chardonnay+champagne+cahier+des+charges+AOC
Chasselas,savoie,https://www.google.com/search?q=Chasselas+savoie+cahier+des+charges+AOC
Chasselas,alsace,https://www.google.com/search?q=Chasselas+alsace+cahier+des+charges+AOC
Chenin Blanc,loire,https://www.inao.gouv.fr/produit/montlouis-sur-loire-petillant-15463
Cinsault,rhone,https://www.google.com/search?q=Cinsault+rhone+cahier+des+charges+AOC
Cinsault,provence,https://www.google.com/search?q=Cinsault+provence+cahier+des+charges+AOC
Clairette,rhone,https://clairette-de-die.com/fr/syndicat-de-la-clairette/espace-documentaire/
Clairette,languedoc,https://www.lr-origine.com/wp-content/uploads/2021/02/Cahier-des-charges-AOC-CLAIRETTE-DU-LANGUEDOC.pdf
Clairette Rose,rhone,https://www.google.com/search?q=Clairette+Rose+rhone+cahier+des+charges+AOC
Colombard,bordeaux,https://www.google.com/search?q=Colombard+bordeaux+cahier+des+charges+AOC
Colombard,sud_ouest,https://www.google.com/search?q=Colombard+sud_ouest+cahier+des+charges+AOC
Counoise,rhone,https://www.google.com/search?q=Counoise+rhone+cahier+des+charges+AOC
Courbu Blanc,sud_ouest,https://www.google.com/search?q=Courbu+Blanc+sud_ouest+cahier+des+charges+AOC
César,bourgogne,https://www.google.com/search?q=C%C3%A9sar+bourgogne+cahier+des+charges+AOC
Douce Noire,savoie,https://www.google.com/search?q=Douce+Noire+savoie+cahier+des+charges+AOC
Duras,sud_ouest,https://www.google.com/search?q=Duras+sud_ouest+cahier+des+charges+AOC
